"titre";"auteur";"annee_creation";"lieu_exposition";"naissance_deces";"domaine";"technique";"hauteur_cm";"longueur_cm";"annee_acquisition";"type_acquisition";"precisions_acquisitions";"numero_inventaire";"lien_navigart"
"Le port de Nantes";"Jacques PHILIPPE";1940;"";"1914, Nantes (Loire-Atlantique, France) - 1940, Gravelines (Nord, France)";"Peinture";"Huile sur toile";46.4;55.2;1950;"Don";"Don des Amis de Jacques Philippe en 1950";"949.12.2.P";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003048"
"Le Christ debout, drapé dans son manteau";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Sanguine sur papier";32.4;16.3;NA;"Mode d'acquisition non renseigné";"Acquisition";"5574";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069386"
"Homme debout de profil";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";40;28.1;NA;"Mode d'acquisition non renseigné";"Acquisition";"4111";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065035"
"Portrait d'un pape";"XVIIe ITALIE,";NA;"";"?, ? - ?, ?";"Peinture";"Huile sur toile";62.4;49.7;1810;"Achat";"Achat à M Cacault en 1810";"270";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006357"
"Homme debout, de face, bas du corps peu indiqué, pose la main droite sur la tête";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";32;21.8;NA;"Mode d'acquisition non renseigné";"Acquisition";"5901";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007725"
"Incendie de village";"Jacques CALLOT";NA;"";"1592, Nancy (Meurthe-et-Moselle, France) - 1635, Nancy (Meurthe-et-Moselle, France)";"Estampe";"De la série """"Petites misères de la guerre""""Eau-forte sur papier";8.1;18.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"3562";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000101108"
"Le musicien P. Ladmirault";"Sébastien de BOISHÉRAUD";1903;"";"1847, Maisdon-sur-Sèvre (Loire-Atlantique, France) - 1927, La Montagne (Loire-Atlantique, France)";"Sculpture";"MédaillonPlâtre";NA;NA;1938;"Don";"Don de G de Boishéraud en 1938";"2922";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001305"
"Portrait de Jean De Bay";"Hippolyte-Jean FLANDRIN";1833;"";"1809, Lyon (Rhône, France) - 1864, Rome (Italie)";"Dessin";"Mine de plomb sur papier contrecollé sur papier";29.4;21.7;1900;"Achat";"Achat en 1900";"1500";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007110"
"Jeune homme assis, jambe droite allongée sur le côté, tend un cordeau du bras droit";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Fusain, craie blanche sur  papier";26;21.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5974";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007798"
"Une femme drapée, tenant un panier de victuailles sur sa tête";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";20.5;7.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4697";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066242"
"";"Giovanni Battista PIRANESI";NA;"";"1720, Mogliano Veneto (Italie) - 1778, Rome (Italie)";"Estampe";"Estampe, EpreuveGravure n°55Eau-forte sur papier";NA;NA;NA;"Dépôt";"";"";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000136370"
"Ulysse et les sirènes";"Victor-Louis MOTTEZ";1848;"";"1809, Lille (Nord, France) - 1897, Bièvres (Ardennes, France)";"Peinture";"La galère d'Ulysse passe au fond, sur la mer ; au premier plan, trois sirènes nues, à mi-corps, sortent de l'onde : l'une à gauche, joue de la harpe ; à droite, les deux autres tournent enlacées.Huile sur toile";124.5;182.5;1898;"Don";"Don M Mottez en 1898";"1112";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004248"
"Singer Building, New York";"Henry Wilfrid DEVILLE";NA;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier vergé";20.2;11.8;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3754(2)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082644"
"Enfant nu, de dos, les coudes levés vers la droite";"Alexis Marie Louis DOUILLARD";NA;"";"1835, Nantes (Loire-Atlantique, France) - 1905, Bellevue-la-Montagne (Haute-Loire, France)";"Dessin";"Sanguine sur papier";27;22;1906;"Don";"Don en 1906";"1494";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007917"
"Paris, quai de la Tournelle";"Henry Wilfrid DEVILLE";1927;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier Arches";31.6;37.7;1955;"Mode d'acquisition non renseigné";"Acquisition en 1955";"6515(1)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082684"
"Intérieur flamand";"Rodolphe BRESDIN";1886;"";"1822, Montrelais (Loire-Atlantique, France) - 1885, Sèvres (Hauts-de-Seine, France)";"Estampe";"Eau forte sur papier";35.7;27.2;2009;"Legs";"Legs de Madame Gallico-Bresdin en 2009";"09.7.4.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000044249"
"Saint Paul hors les murs - Paysage";"Jules Elie DELAUNAY";1860;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Aquarelle - papier dessin bleu foncé";22.7;31.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"4538";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007621"
"Pêcheurs catalans aux environs de Port-Vendre";"Gaspard-Jean LACROIX";1842;"";"1810, Turin (Italie) - 1878, Paris (France)";"Peinture";"Une barque, montée par deux pêcheurs, accoste, à gauche, à un rocher qui occupe le premier plan et où sont réunis d'autres pêcheurs. Au deuxième plan, à droite, un pêcheur, sur un rocher, penché au-dessus de l'eau, pêche au trident.Huile sur toile";72.2;100.5;1845;"Achat";"Achat en 1845";"1044";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004212"
"La Florentine";"Jacques-Clément WAGREZ";1898;"";"1850, Paris (France) - 1908, Paris (France)";"Peinture";"Une jeune femme en bleu, assise sur un banc à droite, près de la mer et tenant des fleurs à la main, écoute les galants propos d'un jeune seigneur debout derrière elle. Au fond, une vue de Venise.Huile sur toile";55.7;46.5;1908;"Legs";"Legs Collection Aristide David et fils en 1908";"1220";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003563"
"Une maison dans les dunes";"Maxime MAUFRA";1891;"";"1861, Nantes (Loire-Atlantique, France) - 1918, Poncé-sur-le-Loir (Sarthe, France)";"Peinture";"Huile sur toile";NA;NA;1912;"Don";"Don de l'artiste en 1912";"1912";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002679"
"Femme nue assise";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Sanguine et crayon blanc";39;25;NA;"Mode d'acquisition non renseigné";"Acquisition";"1375";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064019"
"Portrait de Mme Olive";"Alexandre Jean HESSE";NA;"";"1806, Paris (France) - 1879, Paris (France)";"Dessin";"Pierre noire, sanguine et réhaus de craie blanche sur papier";30.1;23.8;NA;"Mode d'acquisition non renseigné";"Acquisition";"1539";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007883"
"Personnage nu, debout, de profil";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Sanguine sur papier";33.6;25;NA;"Mode d'acquisition non renseigné";"Acquisition";"4899";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067365"
"Christ portant la croix";"Lucas DE LEYDE";1515;"";"1489?, Leyde (Pays-Bas) - 1553, Leyde (Pays-Bas)";"Estampe";"Estampe, Estampe originaleBurin";7.7;10.4;NA;"Mode d'acquisition non renseigné";"Acquisition";"17 [n° de document]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000044024"
"Nymphe endormie (nu aux lapins)";"Paul Albert BESNARD";1913;"";"1849, Paris (France) - 1934, Paris (France)";"Peinture";"Albert Besnard rejoint l’atelier de Cabanel à l’Ecole des Beaux-arts dès ses 17 ans. Il expose pour la première fois au Salon de 1868. En 1874, La mort de Timophane, tyran de Corinthe, lui vaut le Grand Prix de Rome. Il connaît ensuite une carrière brillante : directeur de la Villa Médicis en 1913, puis de l’Ecole des Beaux-arts de Paris en 1922 ; élu à l’Académie française. Décorateur, Besnard peint de grandes compositions à Paris pour l’Hôtel de Ville, l’Ecole de Pharmacie, la Comédie française, le Petit Palais, etc. Son œuvre est marqué par la recherche de la lumière. Regardant l’impressionnisme sans y adhérer, Besnard travaille les éclairages audacieux et une palette claire, faisant dire aux critiques qu’il réalise des « feux d’artifice ».« Caractéristique peinture de chevalet du Maître A. Besnard » (Léonce Bénédite), cette étonnante Nymphe endormie a été achetée en 1923 par le musée, qui conserve également un pastel de l’artiste.Huile sur toile";116.3;98.6;1923;"Achat";"Achat en 1923";"2003";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001232"
"Raphaël montrant au pape Jules II la statue de l'Apollon qu'il vient de découvrir";"Louis Nicolas LEMASLE";1836;"";"1788, Paris (France) - 1876, Barisis-aux-Bois";"Peinture";"Huile sur toile";178.1;243.6;NA;"Dépôt Fonds national d'art contemporain";"Achat en salon à l'artiste en 1837Fonds national d'art contemporainDépôt au Musée des Beaux-Arts de Nantes";"1069 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004227"
"Etude d'un vendeur";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Sanguine sur papier calque";16.3;16;NA;"Mode d'acquisition non renseigné";"Acquisition";"4255";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007086"
"Saint Félix préparant le Christianisme";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier";20.4;13.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4141";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065064"
"Barques échouées dans un port";"René PINARD";1897;"";"1883, Nantes (Loire-Atlantique, France) - 1938, Paris (France)";"Dessin";"Mine graphite sur papier";24.5;31.7;1938;"Don";"Don de l'artiste en 1938";"3316";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003085"
"Ruelle d'Emmachia";"Jules Elie DELAUNAY";1857;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb,craie blanche - papier à dessin bleu";26;18.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4505";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007590"
"Marine";"Charles JOUSSET";NA;"";"1857, Nantes (Loire-Atlantique, France) - 1907, ?";"Peinture";"Au premier plan, des pêcheurs déchargent sur le rivage le contenu de leurs barques ; au fond, la mer avec des voiliersHuile sur toile";74;118;1908;"Achat";"Achat à Mme Veuve Jousset en 1908";"1040";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004208"
"Le """"serment de Brutus"""" : Brutus nu de face, lève la main droite tenant un poignard";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de planc sur papier";29.4;12;NA;"Mode d'acquisition non renseigné";"Acquisition";"5156";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068292"
"La maison au fond de la baie (Nouvelle Ecosse)";"Jean-Emile LABOUREUR";1906;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier vergé";18.1;27.6;1911;"Achat";"Achat à l'artiste en 1911";"1874";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002206"
"La marquise de Pastoret d'après J.A.D. Ingres";"Jean-Alexandre CORABOEUF";NA;"";"1870, Pouillé-les-Côteaux (Loire-Atlantique, France) - 1947, Paris (France)";"Estampe";"Eau-forte, tirage sur papier";35.7;27.9;2015;"Donation";"Donation Roseline Besnard-Viguier bis en 2015";"2015.1.31.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000144483"
"Armée du Salut à Londres";"Jean-Emile LABOUREUR";1909;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveLithographie, tirage sur papier";40;53.3;1911;"Achat";"Achat à l'artiste en 1911";"1876 (2)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002209"
"Maternité";"Henry Singlewood BISBING";1898;"";"1849, Philadelphie (Pennsylvanie, États-Unis) - 1919, ?";"Peinture";"Des bestiaux dans un pré ; au centre, une vache et son veauHuile sur toile";61;92.5;1898;"Mode d'acquisition non renseigné";"Acquisition en 1898";"819";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004057"
"Rome, Panorama";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Aquarelle";13.4;31;1897;"Legs";"Legs de L Delaunay en 1897";"4473";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007175"
"Nancy, 2, rue de Guise";"Henry Wilfrid DEVILLE";1935;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Dessin";"Mine de plomb, plume et encre sur papier";31.6;24.2;1949;"Legs";"Legs de l'artiste en 1949";"6342";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001648"
"Bords d'une rivière au soleil couchant";"Théodore GUDIN (Jean-Antoine-Théodore GUDIN, dit)";1846;"";"1802, Paris (France) - 1880, Boulogne-sur-Seine (Seine)";"Peinture";"La rivière occupe le premier plan et se dérobe derrière un pli de terrain qui décline de gauche à droite ; barques, figuresHuile sur bois";27.2;41;1852;"Don";"Don de M Clarke de Feltre en 1852";"1010";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004187"
"Cléopâtre sur le Nil";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Mine de plomb, plume et lavis d'encre noire, rehauts de gouache blanche sur calque contrecollé sur carton";30.4;44.3;1924;"Don";"Don Famille de l'artiste en 1924";"2418";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002742"
"Illustration pour Notre-Dame de Paris de V. Hugo";"Luc-Olivier MERSON";1888;"";"1846, Paris (France) - 1920, Paris (France)";"Estampe";"Estampe, IllustrationEau-forte, tirage sur papier Rives filigranné";27.9;22.4;1925;"Don";"Don de Héritiers Merson en 1925";"2686";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143150"
"""""La Fortune"""" vue un peu de profil, posée sur la jambe droite";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Fusain sur papier calque";32.7;33.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"5038";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067503"
"Neige au soleil couchant";"Albert LEBOURG";NA;"";"1849, Montfort-sur-Risle (Eure, France) - 1928, Rouen (Seine-Maritime, France)";"Peinture";"Huile sur toile";65.5;50.5;NA;"Dépôt Fonds national d'art contemporain";"Achat en 1912Fonds national d'art contemporainDépôt au Musée des Beaux-Arts de Nantes le 19/02/1913";"913.5.3.P [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006414"
"Esquisse de l'Assomption de la Vierge de la Chapelle de la Vierge de la Trinité, Paris";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb, pastel, sanguine et encre";132.5;58.8;1986;"Achat";"Achat à Mme Méon en 1986";"8850 ,  986.4.1.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005518"
"La Marchande de coco";"Adrien MOREAU";1906;"";"1843, Troyes (Aube, France) - 1906, Paris (France)";"Peinture";"Huile sur toile";65.5;82;1908;"Legs";"Legs Collection Aristide David et fils en 1908";"1109";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002792"
"Portrait de Henri-Jacques-Guillaume Clarke, Comte d'Hunebourg et Duc de Feltre, Maréchal de l'Empire et Ministre de la Guerre";"François-Xavier FABRE";1810;"Musée d'Arts - Palais - Salle 8";"1766, Montpellier (Hérault, France) - 1837, Montpellier (Hérault, France)";"Peinture";"Huile sur toile";217;144;1852;"Don";"Don de M Clarke de Feltre en 1852";"960";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004159"
"Une Barricade au XVIè siècle ; épisode de la journée des Barricades, à Paris, le 9 mai 1588";"Olivier MERSON (Charles-Olivier MERSON, dit)";1850;"";"1822, Nantes (Loire-Atlantique, France) - 1902, Paris (France)";"Peinture";"A l'entrée d'une rue aboutissant à un carrefour, des hommes achèvent en hâte de construire une barricade, du haut de laquelle deux moines excitent la foule groupée au fond. Nombreuses figures animant la scène, autour de la barricade, sur un perron à gauche, et aux fenêtres des maisons voisines.Huile sur toile";181.7;136;1853;"Achat";"Achat en 1853";"1103";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004245"
"Cavaliers arabes à l'abreuvoir";"Félix THOMAS";NA;"";"1815, Nantes (Loire-Atlantique, France) - 1875, Nantes (Loire-Atlantique, France)";"Dessin";"Aquarelle et crayon papier";19.5;27.5;1897;"Achat";"Achat en 1897";"1624";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007307"
"Les pavots";"Marguerite CRESTY";NA;"";"1841 - ?, ?";"Dessin";"Aquarelle sur papier, dessin préparatoire à la mine de plomb";77.9;56.2;1912;"Don";"Don de Mme Cresty en 1912";"2369";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001571"
"La Vierge à la chaise d'après Raphaël";"Jean-Alexandre CORABOEUF";1902;"";"1870, Pouillé-les-Côteaux (Loire-Atlantique, France) - 1947, Paris (France)";"Estampe";"Eau-forte, tirage sur papier";53.8;38.3;2015;"Donation";"Donation Roseline Besnard-Viguier bis en 2015";"2015.1.37.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000144512"
"Etude d'un vendeur";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"étude du torseSanguine sur papier calque";19.2;16.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4262";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007090"
"Place de la Concorde, Paris";"Henry Wilfrid DEVILLE";1933;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, Matrice cuivreEau-forte";17.6;22.6;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3589";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000142942"
"Centurions de la Résurrection";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";18.5;18.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4166";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065087"
"Etude des plis d'une toge";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Sanguine sur papier calque très mince";42.5;30.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"6123";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000165537"
"Portrait d'un orateur";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Encre sur papier";5.5;5.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"sans inv.";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000052798"
"Un vieillard semble accusé et chancelle. Le personnage à l'index vengeur est esquissé à droite";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de  plomb sur papier calque";31.4;23.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4902";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067368"
"Une des déesses, debout, de profil";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";16;7.8;NA;"Mode d'acquisition non renseigné";"Acquisition";"4857";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067324"
"La barque en péril. Vierge au gouvernail";"Alfred de RICHEMONT";NA;"";"1857, Paris (France) - 1911, Paris (France)";"Dessin";"Crayon";60.2;45.2;1912;"Don";"Don Mme veuve de Richemont en 1912";"2478";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003245"
"Les Limbes";"Pierre Paul Léon GLAIZE";1900;"";"1842, Paris (France) - 1932, ?";"Peinture";"""""De son sépulcre, Jésus-Christ vient délivrer les élus de l'Ancien Testament, que le péché originel retenait dans les Limbes"""" (sous-titre du tableau dans le catalogue de l'Exposition décennale de 1900)Huile sur toile";475;625;NA;"Dépôt Centre national des arts plastiques";"Achat en salon en 1900Centre national des arts plastiquesDépôt au Musée des Beaux-Arts de Nantes en 1901";"999";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004182"
"La Sculpture";"Agathon LÉONARD (Agathon VAN WEYDEVELDT, dit)";1891;"Musée d'Arts - Palais - Salle  15";"1841, Lille (Nord, France) - 1923, Paris (France)";"Sculpture";"Statue maquettePlâtre";111;47;NA;"Mode d'acquisition non renseigné";"Acquisition";"14.8.14.S";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005242"
"Etude de draperies : femme assise trois quarts droite, costume début Renaissance";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Crayon, pierre noire, rehauts de craie blanche sur papier";72.5;47.3;1983;"Achat";"Achat à M Philippe Merson en 1983";"983.21.35.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003891"
"Barques";"René PINARD";1905;"";"1883, Nantes (Loire-Atlantique, France) - 1938, Paris (France)";"Dessin";"Fusain, sanguine, craie blanche sur papier bleu";23.4;30.6;1938;"Don";"Don de l'artiste en 1938";"3337";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003106"
"Portrait d'Alphonse Clarke, Comte de Feltre";"Hippolyte de LA ROCHE dit Paul DELAROCHE";NA;"";"1797, Paris (France) - 1856, Paris (France)";"Dessin";"Mine de plomb, sanguine et craie blanche sur papier";38;30.5;1852;"Don";"Don de M Clarke de Feltre en 1852";"1331";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004452"
"Sujet à genoux, en adoration, mains croisées sur la poitrine";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";16.1;14;NA;"Mode d'acquisition non renseigné";"Acquisition";"4130";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065053"
"Un village";"Maxime MAUFRA";1887;"";"1861, Nantes (Loire-Atlantique, France) - 1918, Poncé-sur-le-Loir (Sarthe, France)";"Dessin";"Aquarelle sur papier";36;25;2006;"Achat";"Achat à Mme Duranceau en 2006";"06.8.6.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007407"
"Costume des religieuses de Saint Vincent de Paul";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb et fusain sur papier blanc";30.5;19;NA;"Mode d'acquisition non renseigné";"Acquisition";"5262";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068546"
"Visage d'homme, de face, barbu, chevelu";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";16.8;11;NA;"Mode d'acquisition non renseigné";"Acquisition";"5789";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007527"
"La citadelle du Palais (Belle-Ile)";"Jacques PHILIPPE";NA;"";"1914, Nantes (Loire-Atlantique, France) - 1940, Gravelines (Nord, France)";"Peinture";"Huile sur toile";38;545;1949;"Don";"Don des Amis de Jacques Philippe en 1949";"3806";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003047"
"Un Incident aux Champs-Elysées sous le Directoire";"Prudent-Louis LERAY";NA;"";"1820, Couëron (Loire-Atlantique, France) - 1879, Paris (France)";"Peinture";"Deux merveilleuses à demi-nues provoquent un scandale et sont entourées par la foule des promeneurs qui les dévisagent curieusement ; un incroyable bouscule un marchand de coco qui s'était permis quelque réflexion hardie.Huile sur toile";66;90.5;1892;"Legs";"Legs de M Emile André Aimé Cosse en 1892";"1076";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004354"
"Homme assis de dos, tourné vers la gauche, tenant un bâton";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Fusain sur papier";27.8;44;NA;"Mode d'acquisition non renseigné";"Acquisition";"6034";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007863"
"Personnage vu de dos fuyant, tête baissée";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier";24.8;17.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5434";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068879"
"Salomé";"Jean BENNER";1899;"Musée d'Arts - Palais - Salle 24";"1836, Mulhouse (Haut-Rhin, France) - 1906, Paris (France)";"Peinture";"Vue de face, en robe jaune, tenant la tête de Saint-Jean Baptiste dans un platHuile sur toile";118;80;1907;"Don";"Don de Many Benner en 1907";"810";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004049"
"Un cavalier";"Philips WOUWERMAN";NA;"";"1619, Haarlem (Pays-Bas) - 1668, Haarlem (Pays-Bas)";"Peinture";"Huile sur bois";25;20;1814;"Achat";"Achat à Collection Fournier en 1814";"566";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006079"
"Saint François en prière";"XVIIe ITALIE,";NA;"";"?, ? - ?, ?";"Peinture";"Huile sur toile";49.1;37.2;1810;"Mode d'acquisition non renseigné";"Acquisition M François Cacault en 1810";"355";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004645"
"Charmeur d'oiseaux au Trocadéro";"Jean-Emile LABOUREUR";NA;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveGravure au burin, tirage sur papier Rives";22.5;27.8;1939;"Achat";"Achat à Jean-Emile Laboureur en 1939";"2656";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000079007"
